Size,n,freq,Simulation
1095,1,1.4492753623188406,1
1125,1,1.4492753623188406,1
315,6,8.695652173913043,1
345,12,17.391304347826086,1
375,7,10.144927536231885,1
405,9,13.043478260869565,1
435,4,5.797101449275362,1
465,3,4.3478260869565215,1
495,8,11.594202898550725,1
525,5,7.246376811594203,1
555,1,1.4492753623188406,1
585,2,2.898550724637681,1
615,2,2.898550724637681,1
645,2,2.898550724637681,1
675,2,2.898550724637681,1
735,1,1.4492753623188406,1
765,1,1.4492753623188406,1
855,1,1.4492753623188406,1
885,1,1.4492753623188406,1
315,9,13.043478260869565,2
345,13,18.84057971014493,2
375,6,8.695652173913043,2
405,6,8.695652173913043,2
435,5,7.246376811594203,2
465,3,4.3478260869565215,2
495,7,10.144927536231885,2
525,3,4.3478260869565215,2
555,5,7.246376811594203,2
585,4,5.797101449275362,2
615,2,2.898550724637681,2
645,1,1.4492753623188406,2
675,2,2.898550724637681,2
765,1,1.4492753623188406,2
825,1,1.4492753623188406,2
975,1,1.4492753623188406,2
315,10,14.492753623188406,3
345,8,11.594202898550725,3
375,5,7.246376811594203,3
405,7,10.144927536231885,3
435,4,5.797101449275362,3
465,4,5.797101449275362,3
495,3,4.3478260869565215,3
525,4,5.797101449275362,3
555,9,13.043478260869565,3
585,2,2.898550724637681,3
615,4,5.797101449275362,3
645,2,2.898550724637681,3
675,3,4.3478260869565215,3
735,1,1.4492753623188406,3
765,1,1.4492753623188406,3
855,1,1.4492753623188406,3
885,1,1.4492753623188406,3
315,11,15.942028985507244,4
345,12,17.391304347826086,4
375,11,15.942028985507244,4
405,6,8.695652173913043,4
435,6,8.695652173913043,4
465,4,5.797101449275362,4
495,3,4.3478260869565215,4
525,3,4.3478260869565215,4
555,3,4.3478260869565215,4
585,3,4.3478260869565215,4
615,1,1.4492753623188406,4
645,1,1.4492753623188406,4
675,1,1.4492753623188406,4
705,2,2.898550724637681,4
765,1,1.4492753623188406,4
825,1,1.4492753623188406,4
315,6,8.695652173913043,5
345,14,20.28985507246377,5
375,7,10.144927536231885,5
405,7,10.144927536231885,5
435,6,8.695652173913043,5
465,4,5.797101449275362,5
495,5,7.246376811594203,5
525,3,4.3478260869565215,5
555,3,4.3478260869565215,5
585,3,4.3478260869565215,5
615,4,5.797101449275362,5
645,3,4.3478260869565215,5
675,2,2.898550724637681,5
735,1,1.4492753623188406,5
825,1,1.4492753623188406,5
1035,1,1.4492753623188406,6
315,13,18.84057971014493,6
345,4,5.797101449275362,6
375,13,18.84057971014493,6
405,11,15.942028985507244,6
435,1,1.4492753623188406,6
465,6,8.695652173913043,6
495,2,2.898550724637681,6
525,3,4.3478260869565215,6
555,4,5.797101449275362,6
585,2,2.898550724637681,6
615,3,4.3478260869565215,6
645,1,1.4492753623188406,6
675,1,1.4492753623188406,6
705,3,4.3478260869565215,6
945,1,1.4492753623188406,6
1095,1,1.4492753623188406,7
315,12,17.391304347826086,7
345,9,13.043478260869565,7
375,3,4.3478260869565215,7
405,4,5.797101449275362,7
435,6,8.695652173913043,7
465,9,13.043478260869565,7
495,2,2.898550724637681,7
525,5,7.246376811594203,7
555,6,8.695652173913043,7
585,2,2.898550724637681,7
615,3,4.3478260869565215,7
645,1,1.4492753623188406,7
675,1,1.4492753623188406,7
735,4,5.797101449275362,7
945,1,1.4492753623188406,7
1155,1,1.4492753623188406,8
315,7,10.144927536231885,8
345,9,13.043478260869565,8
375,10,14.492753623188406,8
405,12,17.391304347826086,8
435,4,5.797101449275362,8
465,4,5.797101449275362,8
495,3,4.3478260869565215,8
525,4,5.797101449275362,8
555,5,7.246376811594203,8
585,3,4.3478260869565215,8
615,1,1.4492753623188406,8
645,1,1.4492753623188406,8
675,3,4.3478260869565215,8
765,1,1.4492753623188406,8
885,1,1.4492753623188406,8
315,7,10.144927536231885,9
345,13,18.84057971014493,9
375,7,10.144927536231885,9
405,7,10.144927536231885,9
435,2,2.898550724637681,9
465,6,8.695652173913043,9
495,2,2.898550724637681,9
525,1,1.4492753623188406,9
555,8,11.594202898550725,9
585,2,2.898550724637681,9
615,1,1.4492753623188406,9
645,5,7.246376811594203,9
675,5,7.246376811594203,9
705,1,1.4492753623188406,9
735,1,1.4492753623188406,9
765,1,1.4492753623188406,9
1035,1,1.4492753623188406,10
315,11,15.942028985507244,10
345,9,13.043478260869565,10
375,6,8.695652173913043,10
405,7,10.144927536231885,10
435,5,7.246376811594203,10
465,9,13.043478260869565,10
495,3,4.3478260869565215,10
525,4,5.797101449275362,10
555,3,4.3478260869565215,10
585,3,4.3478260869565215,10
615,2,2.898550724637681,10
645,3,4.3478260869565215,10
705,1,1.4492753623188406,10
735,2,2.898550724637681,10
315,13,18.84057971014493,11
345,8,11.594202898550725,11
375,7,10.144927536231885,11
405,6,8.695652173913043,11
435,6,8.695652173913043,11
465,2,2.898550724637681,11
495,2,2.898550724637681,11
525,3,4.3478260869565215,11
555,2,2.898550724637681,11
585,2,2.898550724637681,11
615,2,2.898550724637681,11
645,5,7.246376811594203,11
675,3,4.3478260869565215,11
705,1,1.4492753623188406,11
735,3,4.3478260869565215,11
795,1,1.4492753623188406,11
855,2,2.898550724637681,11
885,1,1.4492753623188406,11
1065,1,1.4492753623188406,12
1125,1,1.4492753623188406,12
315,11,15.942028985507244,12
345,7,10.144927536231885,12
375,12,17.391304347826086,12
405,5,7.246376811594203,12
435,6,8.695652173913043,12
465,2,2.898550724637681,12
495,3,4.3478260869565215,12
525,6,8.695652173913043,12
555,3,4.3478260869565215,12
585,3,4.3478260869565215,12
615,1,1.4492753623188406,12
645,3,4.3478260869565215,12
675,2,2.898550724637681,12
735,1,1.4492753623188406,12
765,2,2.898550724637681,12
315,12,17.391304347826086,13
345,9,13.043478260869565,13
375,11,15.942028985507244,13
405,3,4.3478260869565215,13
435,5,7.246376811594203,13
465,4,5.797101449275362,13
495,6,8.695652173913043,13
525,1,1.4492753623188406,13
555,5,7.246376811594203,13
585,2,2.898550724637681,13
615,6,8.695652173913043,13
645,2,2.898550724637681,13
675,1,1.4492753623188406,13
825,1,1.4492753623188406,13
885,1,1.4492753623188406,13
315,6,8.695652173913043,14
345,8,11.594202898550725,14
375,8,11.594202898550725,14
405,3,4.3478260869565215,14
435,8,11.594202898550725,14
465,4,5.797101449275362,14
495,8,11.594202898550725,14
525,3,4.3478260869565215,14
555,7,10.144927536231885,14
585,3,4.3478260869565215,14
615,2,2.898550724637681,14
675,2,2.898550724637681,14
705,3,4.3478260869565215,14
765,1,1.4492753623188406,14
795,1,1.4492753623188406,14
915,1,1.4492753623188406,14
975,1,1.4492753623188406,14
315,9,13.043478260869565,15
345,8,11.594202898550725,15
375,9,13.043478260869565,15
405,5,7.246376811594203,15
435,8,11.594202898550725,15
465,7,10.144927536231885,15
495,3,4.3478260869565215,15
525,5,7.246376811594203,15
555,2,2.898550724637681,15
585,3,4.3478260869565215,15
615,2,2.898550724637681,15
645,1,1.4492753623188406,15
675,2,2.898550724637681,15
705,2,2.898550724637681,15
765,1,1.4492753623188406,15
795,1,1.4492753623188406,15
885,1,1.4492753623188406,15
