"","Size","total_within_CI","P_value"
"1",315,0,0
"2",345,1,5e-04
"3",375,31,0.0155
"4",405,253,0.1265
"5",435,402,0.201
"6",465,1056,0.528
"7",495,1093,0.5465
"8",525,1050,0.525
"9",555,389,0.1945
"10",585,74,0.037
"11",615,465,0.2325
"12",645,0,0
"13",675,37,0.0185
"14",705,232,0.116
"15",735,76,0.038
"16",765,912,0.456
"17",795,777,0.3885
"18",825,595,0.2975
"19",855,403,0.2015
"20",885,0,0
"21",915,315,0.1575
"22",945,0,0
"23",975,0,0
"24",1005,0,0
"25",1035,0,0
"26",1065,0,0
"27",1095,0,0
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
