"","Size","total_within_CI","P_value"
"1",315,0,0
"2",345,0,0
"3",375,0,0
"4",405,19,0.0095
"5",435,42,0.021
"6",465,235,0.1175
"7",495,636,0.318
"8",525,1633,0.8165
"9",555,468,0.234
"10",585,496,0.248
"11",615,460,0.23
"12",645,100,0.05
"13",675,37,0.0185
"14",705,55,0.0275
"15",735,23,0.0115
"16",765,284,0.142
"17",795,176,0.088
"18",825,605,0.3025
"19",855,473,0.2365
"20",885,388,0.194
"21",915,345,0.1725
"22",945,290,0.145
"23",975,262,0.131
"24",1005,196,0.098
"25",1035,0,0
"26",1065,134,0.067
"27",1095,0,0
"28",1125,0,0
"29",1155,99,0.0495
"30",1185,0,0
