Size,Mean_Expected,SD_expected,n,SE_Expected
1005,1.4202627050340908,0.7708469878179336,1583,0.01937437592788632
1035,1.2992774169944206,0.7103260209062707,1508,0.01829182565864011
1065,1.186605596031991,0.6229113617038933,1453,0.016341557454153218
1095,1.2051797714229657,0.6424819447056871,1406,0.01713437498206966
1125,1.1100893997445722,0.5785248285639861,1350,0.01574545148347645
1155,1.1012235817575085,0.5565620706438542,1302,0.01542439413124405
1185,1.0451475293281196,0.5032587138187107,1261,0.014172085379097775
1215,0.9824042402391299,0.4673324625297269,1119,0.013970466440298842
1245,1.0223622810738744,0.5142346341602613,1138,0.015243692952882942
1305,0.9802043422733079,0.4625204914070674,1080,0.014074050358445844
1335,0.9468376704680045,0.44207720148994223,1019,0.01384876438007865
1395,0.9403129760420995,0.42531732617536006,996,0.013476695188277748
1605,0.8812762688118588,0.3781490008775348,763,0.013689913003383434
1695,0.820380854348945,0.3003970868738532,670,0.011605351943597924
1995,0.8025682182985554,0.2783183699490463,623,0.01115059003765954
315,4.123404696849168,1.6007450139280293,1994,0.03584755838455564
345,4.403581100895275,1.672122893983176,1999,0.037399155534700114
375,4.353189136894478,1.6468944753416124,1996,0.036862560997058876
405,4.435964291264483,1.7074066274149908,1997,0.038207439174625935
435,4.653877367775801,1.7327753693704142,1997,0.03877512741574873
465,5.057701264425316,1.7585157284283262,1999,0.03933144117239097
495,5.349655172413793,1.8454599323137357,2000,0.04126573858405674
525,5.711379310344828,1.880746207325842,2000,0.04205476368005496
555,6.110296527574132,2.0145632818924977,1999,0.04505827040889226
585,6.06448275862069,1.9871176975850569,2000,0.04443330251093056
615,6.0520689655172415,1.9585639035184823,2000,0.043794820265446656
645,5.653448275862069,1.8764698999603577,2000,0.041959142540435895
675,5.096686274171568,1.8144283216533739,1999,0.040581997443043305
705,4.311642472792705,1.6729384149716067,1993,0.03747367659672214
735,3.6439841355063303,1.5054650807549181,1991,0.03373922142651352
765,3.053738684527236,1.375463954561846,1977,0.0309346978939187
795,2.5924813093197123,1.254938816041408,1951,0.028411483951055454
825,2.296340129467248,1.1490038419162645,1923,0.026201842920047267
855,2.017278298752123,1.080348913399715,1868,0.02499629281597026
885,1.9018652204184838,1.0099022639247568,1882,0.02327927958420971
915,1.766787155507105,0.9230210214579938,1803,0.021737706900803632
945,1.5756181713628523,0.8519263755919848,1739,0.0204292429490034
975,1.493636008471614,0.8152308105535534,1677,0.019907377573602274
