"","Size","total_within_CI","P_value"
"1",315,0,0
"2",345,0,0
"3",375,0,0
"4",405,2,0.001
"5",435,135,0.0675
"6",465,899,0.4495
"7",495,1633,0.8165
"8",525,1301,0.6505
"9",555,829,0.4145
"10",585,173,0.0865
"11",615,66,0.033
"12",645,57,0.0285
"13",675,100,0.05
"14",705,4,0.002
"15",735,86,0.043
"16",765,352,0.176
"17",795,40,0.02
"18",825,98,0.049
"19",855,270,0.135
"20",885,634,0.317
"21",915,695,0.3475
"22",945,565,0.2825
"23",975,468,0.234
"24",1005,415,0.2075
"25",1035,0,0
"26",1065,240,0.12
"27",1095,0,0
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
"31",1215,0,0
"32",1245,0,0
"33",1275,0,0
"34",1305,86,0.043
"35",1335,0,0
"36",1395,0,0
"37",1425,0,0
"38",1515,0,0
"39",1875,0,0
"40",1995,0,0
