"","Size","total_within_CI","P_value"
"1",315,98,0.049
"2",345,71,0.0355
"3",375,1318,0.659
"4",405,988,0.494
"5",435,1472,0.736
"6",465,1514,0.757
"7",495,170,0.085
"8",525,632,0.316
"9",555,779,0.3895
"10",585,1119,0.5595
"11",615,111,0.0555
"12",645,1138,0.569
"13",675,1207,0.6035
"14",705,1658,0.829
"15",735,1460,0.73
"16",765,1314,0.657
"17",795,1641,0.8205
"18",825,1125,0.5625
"19",855,843,0.4215
"20",885,0,0
"21",915,964,0.482
"22",945,0,0
"23",975,0,0
"24",1005,0,0
"25",1035,0,0
"26",1065,0,0
"27",1095,702,0.351
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
"31",1215,0,0
"32",1245,0,0
"33",1305,0,0
"34",1335,0,0
"35",1395,0,0
"36",1605,0,0
"37",1695,0,0
"38",1995,0,0
