Size,n,freq,Simulation
1095,1,2.1739130434782608,1
315,4,8.695652173913043,1
345,9,19.565217391304348,1
375,4,8.695652173913043,1
405,7,15.217391304347828,1
435,2,4.3478260869565215,1
465,3,6.521739130434782,1
495,3,6.521739130434782,1
525,4,8.695652173913043,1
555,1,2.1739130434782608,1
585,1,2.1739130434782608,1
615,1,2.1739130434782608,1
645,1,2.1739130434782608,1
675,2,4.3478260869565215,1
735,1,2.1739130434782608,1
765,1,2.1739130434782608,1
885,1,2.1739130434782608,1
1125,1,2.1739130434782608,2
315,4,8.695652173913043,2
345,8,17.391304347826086,2
375,5,10.869565217391305,2
405,4,8.695652173913043,2
435,3,6.521739130434782,2
465,1,2.1739130434782608,2
495,5,10.869565217391305,2
525,2,4.3478260869565215,2
555,3,6.521739130434782,2
585,4,8.695652173913043,2
615,2,4.3478260869565215,2
645,1,2.1739130434782608,2
675,1,2.1739130434782608,2
765,1,2.1739130434782608,2
855,1,2.1739130434782608,2
315,7,15.217391304347828,3
345,8,17.391304347826086,3
375,4,8.695652173913043,3
405,4,8.695652173913043,3
435,4,8.695652173913043,3
465,2,4.3478260869565215,3
495,7,15.217391304347828,3
525,2,4.3478260869565215,3
555,2,4.3478260869565215,3
585,1,2.1739130434782608,3
615,1,2.1739130434782608,3
645,1,2.1739130434782608,3
675,1,2.1739130434782608,3
825,1,2.1739130434782608,3
975,1,2.1739130434782608,3
315,6,13.043478260869565,4
345,6,13.043478260869565,4
375,3,6.521739130434782,4
405,7,15.217391304347828,4
435,1,2.1739130434782608,4
465,2,4.3478260869565215,4
495,1,2.1739130434782608,4
525,3,6.521739130434782,4
555,8,17.391304347826086,4
585,1,2.1739130434782608,4
615,3,6.521739130434782,4
675,3,6.521739130434782,4
765,1,2.1739130434782608,4
855,1,2.1739130434782608,4
315,8,17.391304347826086,5
345,8,17.391304347826086,5
375,6,13.043478260869565,5
405,1,2.1739130434782608,5
435,4,8.695652173913043,5
465,3,6.521739130434782,5
495,3,6.521739130434782,5
525,3,6.521739130434782,5
555,2,4.3478260869565215,5
585,1,2.1739130434782608,5
615,1,2.1739130434782608,5
645,2,4.3478260869565215,5
675,1,2.1739130434782608,5
735,1,2.1739130434782608,5
765,1,2.1739130434782608,5
885,1,2.1739130434782608,5
315,7,15.217391304347828,6
345,6,13.043478260869565,6
375,7,15.217391304347828,6
405,5,10.869565217391305,6
435,5,10.869565217391305,6
465,3,6.521739130434782,6
495,2,4.3478260869565215,6
525,1,2.1739130434782608,6
555,2,4.3478260869565215,6
585,3,6.521739130434782,6
615,1,2.1739130434782608,6
645,1,2.1739130434782608,6
705,2,4.3478260869565215,6
825,1,2.1739130434782608,6
315,3,6.521739130434782,7
345,12,26.08695652173913,7
375,5,10.869565217391305,7
405,6,13.043478260869565,7
435,5,10.869565217391305,7
465,3,6.521739130434782,7
495,3,6.521739130434782,7
525,3,6.521739130434782,7
555,3,6.521739130434782,7
585,1,2.1739130434782608,7
615,2,4.3478260869565215,7
315,8,17.391304347826086,8
345,4,8.695652173913043,8
375,4,8.695652173913043,8
405,6,13.043478260869565,8
435,1,2.1739130434782608,8
465,3,6.521739130434782,8
495,2,4.3478260869565215,8
525,1,2.1739130434782608,8
555,1,2.1739130434782608,8
585,2,4.3478260869565215,8
615,3,6.521739130434782,8
645,4,8.695652173913043,8
675,3,6.521739130434782,8
705,1,2.1739130434782608,8
735,1,2.1739130434782608,8
825,1,2.1739130434782608,8
945,1,2.1739130434782608,8
1035,1,2.1739130434782608,9
315,8,17.391304347826086,9
345,2,4.3478260869565215,9
375,11,23.91304347826087,9
