Size,n,freq,Simulation
1095,1,2.1739130434782608,1
1215,1,2.1739130434782608,1
1425,1,2.1739130434782608,1
375,2,4.3478260869565215,1
405,1,2.1739130434782608,1
435,4,8.695652173913043,1
465,1,2.1739130434782608,1
495,6,13.043478260869565,1
525,3,6.521739130434782,1
555,1,2.1739130434782608,1
585,2,4.3478260869565215,1
615,7,15.217391304347828,1
645,2,4.3478260869565215,1
675,4,8.695652173913043,1
735,2,4.3478260869565215,1
765,2,4.3478260869565215,1
795,3,6.521739130434782,1
825,1,2.1739130434782608,1
915,1,2.1739130434782608,1
945,1,2.1739130434782608,1
1005,1,2.1739130434782608,2
1035,1,2.1739130434782608,2
1065,1,2.1739130434782608,2
1095,1,2.1739130434782608,2
1215,1,2.1739130434782608,2
1245,1,2.1739130434782608,2
1425,1,2.1739130434782608,2
375,3,6.521739130434782,2
405,2,4.3478260869565215,2
435,3,6.521739130434782,2
465,1,2.1739130434782608,2
495,5,10.869565217391305,2
525,4,8.695652173913043,2
585,2,4.3478260869565215,2
615,5,10.869565217391305,2
705,2,4.3478260869565215,2
735,4,8.695652173913043,2
765,1,2.1739130434782608,2
795,1,2.1739130434782608,2
855,2,4.3478260869565215,2
885,1,2.1739130434782608,2
915,1,2.1739130434782608,2
945,1,2.1739130434782608,2
975,1,2.1739130434782608,2
1005,2,4.3478260869565215,3
1035,1,2.1739130434782608,3
1155,1,2.1739130434782608,3
1815,1,2.1739130434782608,3
315,3,6.521739130434782,3
375,3,6.521739130434782,3
405,1,2.1739130434782608,3
435,2,4.3478260869565215,3
465,6,13.043478260869565,3
495,1,2.1739130434782608,3
525,1,2.1739130434782608,3
555,3,6.521739130434782,3
585,1,2.1739130434782608,3
615,4,8.695652173913043,3
645,2,4.3478260869565215,3
675,1,2.1739130434782608,3
705,3,6.521739130434782,3
735,3,6.521739130434782,3
765,2,4.3478260869565215,3
795,1,2.1739130434782608,3
825,1,2.1739130434782608,3
855,1,2.1739130434782608,3
885,2,4.3478260869565215,3
1065,2,4.3478260869565215,4
1125,1,2.1739130434782608,4
1215,1,2.1739130434782608,4
1335,1,2.1739130434782608,4
1995,1,2.1739130434782608,4
315,2,4.3478260869565215,4
345,2,4.3478260869565215,4
375,1,2.1739130434782608,4
405,2,4.3478260869565215,4
435,2,4.3478260869565215,4
465,1,2.1739130434782608,4
495,2,4.3478260869565215,4
525,2,4.3478260869565215,4
555,2,4.3478260869565215,4
585,4,8.695652173913043,4
615,4,8.695652173913043,4
645,1,2.1739130434782608,4
675,3,6.521739130434782,4
735,3,6.521739130434782,4
795,1,2.1739130434782608,4
825,2,4.3478260869565215,4
855,3,6.521739130434782,4
885,2,4.3478260869565215,4
915,1,2.1739130434782608,4
1185,1,2.1739130434782608,5
1335,1,2.1739130434782608,5
1815,1,2.1739130434782608,5
315,4,8.695652173913043,5
345,3,6.521739130434782,5
405,1,2.1739130434782608,5
435,2,4.3478260869565215,5
465,3,6.521739130434782,5
495,3,6.521739130434782,5
525,2,4.3478260869565215,5
555,6,13.043478260869565,5
585,3,6.521739130434782,5
615,1,2.1739130434782608,5
645,3,6.521739130434782,5
675,2,4.3478260869565215,5
705,1,2.1739130434782608,5
765,2,4.3478260869565215,5
795,1,2.1739130434782608,5
825,1,2.1739130434782608,5
855,1,2.1739130434782608,5
915,1,2.1739130434782608,5
945,2,4.3478260869565215,5
975,1,2.1739130434782608,5
1035,1,2.1739130434782608,6
1065,1,2.1739130434782608,6
315,2,4.3478260869565215,6
375,2,4.3478260869565215,6
405,1,2.1739130434782608,6
435,3,6.521739130434782,6
465,2,4.3478260869565215,6
495,3,6.521739130434782,6
525,4,8.695652173913043,6
555,2,4.3478260869565215,6
585,5,10.869565217391305,6
615,1,2.1739130434782608,6
645,5,10.869565217391305,6
675,3,6.521739130434782,6
705,4,8.695652173913043,6
765,2,4.3478260869565215,6
855,2,4.3478260869565215,6
885,1,2.1739130434782608,6
915,1,2.1739130434782608,6
945,1,2.1739130434782608,6
1005,1,2.1739130434782608,7
1155,2,4.3478260869565215,7
1185,2,4.3478260869565215,7
1245,1,2.1739130434782608,7
315,2,4.3478260869565215,7
345,1,2.1739130434782608,7
375,2,4.3478260869565215,7
405,2,4.3478260869565215,7
435,2,4.3478260869565215,7
465,5,10.869565217391305,7
495,3,6.521739130434782,7
525,1,2.1739130434782608,7
555,4,8.695652173913043,7
585,1,2.1739130434782608,7
615,3,6.521739130434782,7
645,4,8.695652173913043,7
675,2,4.3478260869565215,7
705,1,2.1739130434782608,7
765,1,2.1739130434782608,7
795,2,4.3478260869565215,7
825,1,2.1739130434782608,7
915,1,2.1739130434782608,7
945,1,2.1739130434782608,7
975,1,2.1739130434782608,7
1005,1,2.1739130434782608,8
1125,1,2.1739130434782608,8
1275,1,2.1739130434782608,8
1425,1,2.1739130434782608,8
315,2,4.3478260869565215,8
345,5,10.869565217391305,8
375,1,2.1739130434782608,8
405,4,8.695652173913043,8
435,1,2.1739130434782608,8
495,2,4.3478260869565215,8
525,5,10.869565217391305,8
555,3,6.521739130434782,8
585,2,4.3478260869565215,8
615,3,6.521739130434782,8
645,1,2.1739130434782608,8
675,3,6.521739130434782,8
705,4,8.695652173913043,8
765,2,4.3478260869565215,8
885,1,2.1739130434782608,8
915,2,4.3478260869565215,8
945,1,2.1739130434782608,8
1035,1,2.1739130434782608,9
1095,1,2.1739130434782608,9
1125,1,2.1739130434782608,9
1155,1,2.1739130434782608,9
1275,1,2.1739130434782608,9
1395,1,2.1739130434782608,9
315,1,2.1739130434782608,9
375,1,2.1739130434782608,9
405,2,4.3478260869565215,9
435,3,6.521739130434782,9
465,2,4.3478260869565215,9
495,1,2.1739130434782608,9
525,1,2.1739130434782608,9
555,4,8.695652173913043,9
585,4,8.695652173913043,9
615,6,13.043478260869565,9
645,1,2.1739130434782608,9
675,3,6.521739130434782,9
705,2,4.3478260869565215,9
735,1,2.1739130434782608,9
765,2,4.3478260869565215,9
795,1,2.1739130434782608,9
825,2,4.3478260869565215,9
915,2,4.3478260869565215,9
945,1,2.1739130434782608,9
1035,1,2.1739130434782608,10
1125,1,2.1739130434782608,10
