Size,n,freq,Simulation
315,4,14.814814814814813,1
345,2,7.4074074074074066,1
405,6,22.22222222222222,1
435,1,3.7037037037037033,1
465,2,7.4074074074074066,1
495,3,11.11111111111111,1
525,4,14.814814814814813,1
555,1,3.7037037037037033,1
585,1,3.7037037037037033,1
615,1,3.7037037037037033,1
645,1,3.7037037037037033,1
765,1,3.7037037037037033,1
1095,1,3.7037037037037033,2
345,9,33.33333333333333,2
375,5,18.51851851851852,2
405,2,7.4074074074074066,2
435,2,7.4074074074074066,2
465,1,3.7037037037037033,2
495,1,3.7037037037037033,2
525,1,3.7037037037037033,2
675,2,7.4074074074074066,2
735,1,3.7037037037037033,2
855,1,3.7037037037037033,2
885,1,3.7037037037037033,2
1125,1,3.7037037037037033,3
315,4,14.814814814814813,3
345,2,7.4074074074074066,3
375,3,11.11111111111111,3
405,2,7.4074074074074066,3
435,2,7.4074074074074066,3
495,4,14.814814814814813,3
555,1,3.7037037037037033,3
585,4,14.814814814814813,3
615,1,3.7037037037037033,3
645,1,3.7037037037037033,3
675,1,3.7037037037037033,3
765,1,3.7037037037037033,3
315,1,3.7037037037037033,4
345,9,33.33333333333333,4
375,1,3.7037037037037033,4
405,3,11.11111111111111,4
435,1,3.7037037037037033,4
465,1,3.7037037037037033,4
495,3,11.11111111111111,4
525,1,3.7037037037037033,4
555,3,11.11111111111111,4
585,1,3.7037037037037033,4
615,1,3.7037037037037033,4
645,1,3.7037037037037033,4
825,1,3.7037037037037033,4
315,5,18.51851851851852,5
345,3,11.11111111111111,5
375,3,11.11111111111111,5
405,2,7.4074074074074066,5
435,3,11.11111111111111,5
465,2,7.4074074074074066,5
495,4,14.814814814814813,5
525,1,3.7037037037037033,5
555,1,3.7037037037037033,5
615,1,3.7037037037037033,5
675,1,3.7037037037037033,5
975,1,3.7037037037037033,5
315,5,18.51851851851852,6
345,4,14.814814814814813,6
375,2,7.4074074074074066,6
405,3,11.11111111111111,6
465,1,3.7037037037037033,6
495,1,3.7037037037037033,6
525,2,7.4074074074074066,6
555,5,18.51851851851852,6
585,1,3.7037037037037033,6
615,1,3.7037037037037033,6
765,1,3.7037037037037033,6
855,1,3.7037037037037033,6
315,2,7.4074074074074066,7
345,4,14.814814814814813,7
375,2,7.4074074074074066,7
405,4,14.814814814814813,7
435,1,3.7037037037037033,7
465,2,7.4074074074074066,7
525,2,7.4074074074074066,7
555,3,11.11111111111111,7
615,2,7.4074074074074066,7
645,2,7.4074074074074066,7
675,3,11.11111111111111,7
315,6,22.22222222222222,8
345,1,3.7037037037037033,8
375,4,14.814814814814813,8
435,3,11.11111111111111,8
465,2,7.4074074074074066,8
495,2,7.4074074074074066,8
525,3,11.11111111111111,8
555,2,7.4074074074074066,8
585,1,3.7037037037037033,8
615,1,3.7037037037037033,8
735,1,3.7037037037037033,8
885,1,3.7037037037037033,8
315,3,11.11111111111111,9
345,6,22.22222222222222,9
375,4,14.814814814814813,9
405,4,14.814814814814813,9
435,2,7.4074074074074066,9
495,1,3.7037037037037033,9
525,1,3.7037037037037033,9
585,2,7.4074074074074066,9
645,1,3.7037037037037033,9
675,1,3.7037037037037033,9
705,1,3.7037037037037033,9
765,1,3.7037037037037033,9
315,4,14.814814814814813,10
345,4,14.814814814814813,10
375,4,14.814814814814813,10
405,1,3.7037037037037033,10
435,4,14.814814814814813,10
465,2,7.4074074074074066,10
495,2,7.4074074074074066,10
555,2,7.4074074074074066,10
585,1,3.7037037037037033,10
615,1,3.7037037037037033,10
705,1,3.7037037037037033,10
825,1,3.7037037037037033,10
315,2,7.4074074074074066,11
345,5,18.51851851851852,11
375,4,14.814814814814813,11
405,5,18.51851851851852,11
435,1,3.7037037037037033,11
465,3,11.11111111111111,11
495,3,11.11111111111111,11
555,2,7.4074074074074066,11
615,2,7.4074074074074066,11
315,3,11.11111111111111,12
345,8,29.629629629629626,12
375,2,7.4074074074074066,12
405,2,7.4074074074074066,12
435,5,18.51851851851852,12
465,1,3.7037037037037033,12
525,3,11.11111111111111,12
555,1,3.7037037037037033,12
585,1,3.7037037037037033,12
675,1,3.7037037037037033,12
315,6,22.22222222222222,13
345,3,11.11111111111111,13
375,2,7.4074074074074066,13
405,2,7.4074074074074066,13
465,2,7.4074074074074066,13
495,2,7.4074074074074066,13
585,2,7.4074074074074066,13
615,2,7.4074074074074066,13
645,3,11.11111111111111,13
675,1,3.7037037037037033,13
735,1,3.7037037037037033,13
825,1,3.7037037037037033,13
315,6,22.22222222222222,14
345,1,3.7037037037037033,14
375,4,14.814814814814813,14
405,4,14.814814814814813,14
465,2,7.4074074074074066,14
495,1,3.7037037037037033,14
525,2,7.4074074074074066,14
555,1,3.7037037037037033,14
615,1,3.7037037037037033,14
645,1,3.7037037037037033,14
675,1,3.7037037037037033,14
705,2,7.4074074074074066,14
945,1,3.7037037037037033,14
315,4,14.814814814814813,15
345,2,7.4074074074074066,15
375,7,25.925925925925924,15
405,5,18.51851851851852,15
435,1,3.7037037037037033,15
465,3,11.11111111111111,15
555,2,7.4074074074074066,15
585,2,7.4074074074074066,15
615,1,3.7037037037037033,15
1035,1,3.7037037037037033,16
315,2,7.4074074074074066,16
345,2,7.4074074074074066,16
375,2,7.4074074074074066,16
405,2,7.4074074074074066,16
435,2,7.4074074074074066,16
465,1,3.7037037037037033,16
495,2,7.4074074074074066,16
525,2,7.4074074074074066,16
555,3,11.11111111111111,16
615,3,11.11111111111111,16
645,1,3.7037037037037033,16
675,1,3.7037037037037033,16
705,1,3.7037037037037033,16
735,1,3.7037037037037033,16
945,1,3.7037037037037033,16
1095,1,3.7037037037037033,17
315,6,22.22222222222222,17
345,5,18.51851851851852,17
375,1,3.7037037037037033,17
405,1,3.7037037037037033,17
435,2,7.4074074074074066,17
465,4,14.814814814814813,17
495,1,3.7037037037037033,17
525,1,3.7037037037037033,17
555,1,3.7037037037037033,17
585,2,7.4074074074074066,17
735,2,7.4074074074074066,17
315,4,14.814814814814813,18
345,2,7.4074074074074066,18
375,2,7.4074074074074066,18
405,2,7.4074074074074066,18
435,2,7.4074074074074066,18
465,5,18.51851851851852,18
525,5,18.51851851851852,18
555,3,11.11111111111111,18
615,1,3.7037037037037033,18
735,1,3.7037037037037033,18
315,3,11.11111111111111,19
345,4,14.814814814814813,19
375,6,22.22222222222222,19
405,5,18.51851851851852,19
435,2,7.4074074074074066,19
