Size,n,freq,Simulation
1005,3,2.0689655172413794,1
1035,2,1.3793103448275863,1
1065,1,0.6896551724137931,1
1095,2,1.3793103448275863,1
1155,1,0.6896551724137931,1
1215,2,1.3793103448275863,1
1245,1,0.6896551724137931,1
1695,2,1.3793103448275863,1
315,3,2.0689655172413794,1
375,9,6.206896551724138,1
405,5,3.4482758620689653,1
435,9,6.206896551724138,1
465,8,5.517241379310345,1
495,12,8.275862068965518,1
525,8,5.517241379310345,1
555,5,3.4482758620689653,1
585,5,3.4482758620689653,1
615,17,11.724137931034482,1
645,4,2.7586206896551726,1
675,6,4.137931034482759,1
705,5,3.4482758620689653,1
735,10,6.896551724137931,1
765,5,3.4482758620689653,1
795,5,3.4482758620689653,1
825,2,1.3793103448275863,1
855,4,2.7586206896551726,1
885,4,2.7586206896551726,1
915,2,1.3793103448275863,1
945,2,1.3793103448275863,1
975,1,0.6896551724137931,1
1035,1,0.6896551724137931,2
1065,3,2.0689655172413794,2
1125,1,0.6896551724137931,2
1185,1,0.6896551724137931,2
1215,1,0.6896551724137931,2
1395,2,1.3793103448275863,2
315,8,5.517241379310345,2
345,5,3.4482758620689653,2
375,3,2.0689655172413794,2
405,3,2.0689655172413794,2
435,8,5.517241379310345,2
465,8,5.517241379310345,2
495,10,6.896551724137931,2
525,9,6.206896551724138,2
555,11,7.586206896551724,2
585,13,8.96551724137931,2
615,6,4.137931034482759,2
645,11,7.586206896551724,2
675,8,5.517241379310345,2
705,5,3.4482758620689653,2
735,2,1.3793103448275863,2
765,4,2.7586206896551726,2
795,3,2.0689655172413794,2
825,3,2.0689655172413794,2
855,5,3.4482758620689653,2
885,2,1.3793103448275863,2
915,4,2.7586206896551726,2
945,4,2.7586206896551726,2
975,1,0.6896551724137931,2
1005,2,1.3793103448275863,3
1035,2,1.3793103448275863,3
1095,1,0.6896551724137931,3
1125,2,1.3793103448275863,3
1155,4,2.7586206896551726,3
1185,2,1.3793103448275863,3
1245,1,0.6896551724137931,3
1305,2,1.3793103448275863,3
1605,1,0.6896551724137931,3
1995,1,0.6896551724137931,3
315,6,4.137931034482759,3
345,9,6.206896551724138,3
375,5,3.4482758620689653,3
405,8,5.517241379310345,3
435,6,4.137931034482759,3
465,5,3.4482758620689653,3
495,7,4.827586206896552,3
525,6,4.137931034482759,3
555,10,6.896551724137931,3
585,7,4.827586206896552,3
615,13,8.96551724137931,3
645,6,4.137931034482759,3
675,8,5.517241379310345,3
705,8,5.517241379310345,3
735,1,0.6896551724137931,3
765,5,3.4482758620689653,3
795,3,2.0689655172413794,3
825,4,2.7586206896551726,3
855,1,0.6896551724137931,3
885,1,0.6896551724137931,3
915,5,3.4482758620689653,3
945,2,1.3793103448275863,3
975,1,0.6896551724137931,3
1035,2,1.3793103448275863,4
1125,2,1.3793103448275863,4
1155,1,0.6896551724137931,4
1185,1,0.6896551724137931,4
1245,3,2.0689655172413794,4
1395,2,1.3793103448275863,4
1995,2,1.3793103448275863,4
315,1,0.6896551724137931,4
345,7,4.827586206896552,4
375,2,1.3793103448275863,4
405,6,4.137931034482759,4
435,4,2.7586206896551726,4
465,10,6.896551724137931,4
495,10,6.896551724137931,4
525,13,8.96551724137931,4
555,7,4.827586206896552,4
585,13,8.96551724137931,4
615,8,5.517241379310345,4
645,4,2.7586206896551726,4
675,9,6.206896551724138,4
705,6,4.137931034482759,4
735,3,2.0689655172413794,4
765,6,4.137931034482759,4
795,2,1.3793103448275863,4
825,3,2.0689655172413794,4
855,4,2.7586206896551726,4
885,6,4.137931034482759,4
915,5,3.4482758620689653,4
945,3,2.0689655172413794,4
1005,1,0.6896551724137931,5
1035,1,0.6896551724137931,5
1095,2,1.3793103448275863,5
1125,1,0.6896551724137931,5
1215,2,1.3793103448275863,5
1245,1,0.6896551724137931,5
1305,1,0.6896551724137931,5
1335,2,1.3793103448275863,5
1395,4,2.7586206896551726,5
315,8,5.517241379310345,5
345,10,6.896551724137931,5
375,5,3.4482758620689653,5
405,4,2.7586206896551726,5
435,7,4.827586206896552,5
465,4,2.7586206896551726,5
495,7,4.827586206896552,5
525,9,6.206896551724138,5
555,8,5.517241379310345,5
585,11,7.586206896551724,5
615,10,6.896551724137931,5
645,8,5.517241379310345,5
675,5,3.4482758620689653,5
705,6,4.137931034482759,5
735,2,1.3793103448275863,5
765,10,6.896551724137931,5
795,4,2.7586206896551726,5
825,3,2.0689655172413794,5
855,3,2.0689655172413794,5
915,3,2.0689655172413794,5
945,1,0.6896551724137931,5
975,2,1.3793103448275863,5
1005,2,1.3793103448275863,6
1035,1,0.6896551724137931,6
1095,2,1.3793103448275863,6
1125,1,0.6896551724137931,6
1155,4,2.7586206896551726,6
1185,1,0.6896551724137931,6
1245,1,0.6896551724137931,6
1305,1,0.6896551724137931,6
1335,1,0.6896551724137931,6
1695,2,1.3793103448275863,6
315,6,4.137931034482759,6
345,5,3.4482758620689653,6
375,7,4.827586206896552,6
