Size,Mean_Expected,SD_expected,n,SE_Expected
1005,2.2652539276580197,0.43799092461593253,119,0.0401505622307422
1035,2.2360248447204967,0.3639079659272418,105,0.03551378104949476
1065,2.1950189953566905,0.21420201699223762,103,0.021105951878429716
1095,2.1989005497251375,0.23306794235604233,87,0.024987506246876557
1125,2.2418478260869565,0.38123498609358786,64,0.04765437326169848
1155,2.1739130434782608,0,59,0
1185,2.1739130434782608,0,57,0
1215,2.2397891963109355,0.37842968686021267,33,0.06587615283267456
1245,2.1739130434782608,0,23,0
1275,2.1739130434782608,0,34,0
1305,2.1739130434782608,0,32,0
1335,2.1739130434782608,0,23,0
1395,2.1739130434782608,0,24,0
1425,2.1739130434782608,0,24,0
1815,2.1739130434782608,0,6,0
315,15.746739130434783,5.434492347121925,2000,0.12151894311367006
345,13.315489402445925,4.996825214090476,1998,0.11178831664276455
375,10.834677946884131,4.466063503247396,1994,0.10001435006124731
405,8.8673637864612,3.977944729853793,1975,0.08951074972221887
435,7.770058269834155,3.666054401084558,1940,0.08323347757688603
465,7.211495184084976,3.5538331287097362,1932,0.08085250324453967
495,6.462984723854289,3.313513616541978,1887,0.076278616866732707
525,5.829565217391304,3.0193011470656383,1875,0.0697277732009157
555,5.4641274404120255,2.8571482993227,1815,0.06706477442982825
585,4.7762891809909,2.597514136548747,1720,0.06263162739184044
615,4.387984579139002,2.3168509570217815,1624,0.057491691180860505
645,3.9275267656831283,2.091926600312283,1531,0.05346367978575646
675,3.3526202678128616,1.6515655875364286,1315,0.04554418645779413
705,3.1575933576015376,1.508479524464092,1063,0.04626715415752044
735,2.8652806855250983,1.238850200828454,893,0.04145654128522267
765,2.700197356617427,1.1103367090308405,727,0.04118010910286813
795,2.5086641461877757,0.8781593766190239,552,0.03737694521969878
825,2.439787300594307,0.7887465864060395,417,0.0386250865153022
855,2.444864524259609,0.7379602096314308,345,0.03973044213046123
885,2.360248447204969,0.6570677904073827,315,0.03702157591385764
915,2.3501762632197414,0.6296616271053939,222,0.04226012137677001
945,2.2535852492601864,0.40954970338274743,191,0.029633976497279984
975,2.2988505747126435,0.5074186396148498,174,0.038467307796748625
