Size,Mean_Expected,SD_expected,n,SE_Expected
1005,2.81938079803286,1.1991319241868907,778,0.04299096233720365
1035,2.8278543655001767,1.2539665060668166,738,0.04615914497056729
1065,2.6080428254341297,0.9990257059259355,666,0.038711459786089066
1095,2.5984482506221633,0.9994738817003793,594,0.0410089100978003
1125,2.5824587706146924,0.9752024196673802,580,0.04049307644790295
1155,2.4764679515912147,0.8350498818913357,582,0.03461393123901314
1185,2.4983147960903267,0.8324149994101827,516,0.036645027033486946
1215,2.4983054129950615,0.8775486779198829,449,0.04141408263863161
1245,2.4703557312252964,0.799863048139488,462,0.037212996838749283
1275,2.4239640743008777,0.755747095575197,426,0.0366160664238108
1305,2.4602096273291925,0.7913323964714665,448,0.03738694152593333
1335,2.4921782285036143,0.8562294163255836,403,0.0426518252478813
1395,2.3937469467513433,0.6763192190560325,356,0.035844846920347576
1425,2.4050474762618688,0.6910685270475507,348,0.03704516151397854
1815,2.266815310293571,0.4406363166631945,234,0.0288052971418369
1995,2.278794813119756,0.4668614620097359,228,0.030918655634929394
315,4.706093098241932,2.482263790733098,1699,0.0602214547971389
345,5.017205435410544,2.699112471611148,1731,0.06487426462410271
375,4.999874846687192,2.6361477545225487,1737,0.06325135583353779
405,4.98597074963375,2.54641868360726,1751,0.06085366496151653
435,5.190522716170005,2.7353395045870115,1780,0.06483376411485128
465,5.3758189398451455,2.8807259350050956,1825,0.06743269363812845
495,5.813292263949768,2.995896104817126,1835,0.06993727618318324
525,6.0156615240766715,3.0967047327575514,1860,0.0718031216632137
555,6.410521005320125,3.2594495960966863,1896,0.07485573914018231
585,6.3729365263892115,3.279422605388231,1870,0.07583620339815036
615,6.356282746575972,3.2348188680093184,1892,0.0743685650078456
645,6.009615384615384,3.180625452987702,1872,0.07351223178713485
675,5.6035721126221025,2.9388675530688353,1816,0.06896394422223592
705,5.040814816641594,2.689474900292572,1763,0.06405327493762267
735,4.469640179910045,2.427602220697628,1624,0.06023993764438214
765,4.001075634057971,2.124434251429873,1536,0.054206040709320134
795,3.6852401085378936,1.950036780370305,1378,0.0525313055104622
825,3.395819020512317,1.7485265712922653,1329,0.04796337619076736
855,3.211874863903607,1.578237747213516,1198,0.04559781343359061
885,3.166647239382989,1.5626181555409988,1119,0.046713006802086995
915,2.9542398435271586,1.3107255374300621,1067,0.04012634024332027
945,2.8779373989154218,1.2629345649358952,914,0.04177416248500564
975,2.881757267368633,1.2984163015567343,863,0.04419860492007593
