"","Size","total_within_CI","P_value"
"1",315,34,0.017
"2",345,0,0
"3",375,53,0.0265
"4",405,284,0.142
"5",435,835,0.4175
"6",465,844,0.422
"7",495,516,0.258
"8",525,867,0.4335
"9",555,383,0.1915
"10",585,558,0.279
"11",615,440,0.22
"12",645,781,0.3905
"13",675,505,0.2525
"14",705,981,0.4905
"15",735,652,0.326
"16",765,0,0
"17",795,0,0
"18",825,0,0
"19",855,303,0.1515
"20",885,0,0
"21",915,0,0
"22",945,0,0
"23",975,164,0.082
"24",1005,0,0
"25",1035,0,0
"26",1065,0,0
"27",1095,0,0
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
"31",1215,0,0
"32",1245,0,0
"33",1275,0,0
"34",1305,0,0
"35",1335,0,0
"36",1395,0,0
"37",1425,0,0
"38",1815,0,0
