"","Size","total_within_CI","P_value"
"1",315,1158,0.579
"2",345,0,0
"3",375,522,0.261
"4",405,593,0.2965
"5",435,947,0.4735
"6",465,641,0.3205
"7",495,373,0.1865
"8",525,881,0.4405
"9",555,554,0.277
"10",585,1044,0.522
"11",615,954,0.477
"12",645,1255,0.6275
"13",675,987,0.4935
"14",705,1096,0.548
"15",735,625,0.3125
"16",765,0,0
"17",795,0,0
"18",825,0,0
"19",855,764,0.382
"20",885,0,0
"21",915,0,0
"22",945,0,0
"23",975,635,0.3175
"24",1005,0,0
"25",1035,0,0
"26",1065,0,0
"27",1095,0,0
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
"31",1215,0,0
"32",1245,0,0
"33",1275,0,0
"34",1305,0,0
"35",1335,0,0
"36",1395,0,0
"37",1425,0,0
"38",1815,0,0
"39",1995,0,0
