Size,Mean_Expected,SD_expected,n,SE_Expected
1005,4.252400548696844,1.4401776922301779,486,0.0653277867574624
1035,4.302938415998844,1.4963371031019448,513,0.0660648970045166
1065,4.0441787078558376,1.0996908130105962,446,0.052071869190871
1095,4.088888888888889,1.1951453140177175,375,0.06171703863317938
1125,4.176954732510287,1.4380593880075676,360,0.07579238461152904
1155,4.117468967605207,1.1683242454561342,367,0.06098602918855305
1185,3.9559683522531817,0.9345480314881729,323,0.051999643460269085
1215,4.009026948095048,1.020459179963647,279,0.06109329307445529
1245,4.004711425206124,1.0138391457121663,283,0.06026648165045222
1275,3.918411164787976,0.8670856786772285,276,0.05219242456300566
1305,4.0285899935022735,1.1378927100309202,285,0.06740294697970678
1335,3.9953339165937587,0.9994982624789683,254,0.06271409870179316
1395,3.8421599169262715,0.704235884913979,214,0.04814057402329564
1425,3.79948914431673,0.5891367277563053,232,0.038678721094164974
1995,3.7878787878787876,0.554075701426865,132,0.048226099663198886
2955,3.7037037037037033,0,44,0
315,5.921439986542182,2.885775722775013,1321,0.07939829320923866
345,6.256109481915933,3.312388589732625,1364,0.08968794945074582
375,6.2035007980953925,3.0739687466317522,1369,0.08308023639545277
405,6.125554523883214,3.0809334736487997,1436,0.0813027247787014
435,6.428681811157471,3.289534660702714,1438,0.08674711173046369
465,6.700179887139301,3.547781870319108,1503,0.0915118678405446
495,6.748759068346697,3.6482676050198775,1552,0.09260636305345364
525,7.235033775914278,3.820226076593208,1590,0.09580551341221351
555,7.432234184214683,3.949527521644116,1641,0.09749691050973
585,7.458017023234414,4.007412154613441,1610,0.09987368474695363
615,7.441532441532441,4.0011896572028824,1628,0.09916580397843805
645,7.158931082981716,3.7847816510149346,1580,0.09521651591211798
675,6.67448451089612,3.509946190419494,1516,0.0901469127062882
705,6.191846149858746,3.186579224619171,1429,0.08429631811394785
735,5.753914175827503,2.799649256497237,1223,0.08005535676451012
765,5.30339532941441,2.5472441745053516,1153,0.075016349097211
795,5.185185185185184,2.426613678826495,985,0.0773183408627893
825,4.926400759734093,2.1700834856140134,936,0.07093139768763655
855,4.797474545373705,2.153770260668132,833,0.07462371662225875
885,4.673259647081636,1.9321179629522773,764,0.06990157462107958
915,4.421041921041921,1.7466740391290532,728,0.06473604689670481
945,4.459823144944251,1.6456191066992285,578,0.0684487311527749
975,4.38129070455891,1.6397315726120285,563,0.06910644645601068
