"","Size","total_within_CI","P_value"
"1",315,0,0
"2",345,182,0.091
"3",375,294,0.147
"4",405,965,0.4825
"5",435,1104,0.552
"6",465,573,0.2865
"7",495,927,0.4635
"8",525,888,0.444
"9",555,1225,0.6125
"10",585,1303,0.6515
"11",615,1104,0.552
"12",645,1133,0.5665
"13",675,919,0.4595
"14",705,568,0.284
"15",735,492,0.246
"16",765,0,0
"17",795,0,0
"18",825,0,0
"19",855,0,0
"20",885,0,0
"21",915,0,0
"22",945,0,0
"23",975,0,0
"24",1005,0,0
"25",1035,0,0
"26",1065,0,0
"27",1095,0,0
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
"31",1215,0,0
"32",1245,0,0
"33",1275,0,0
"34",1305,0,0
"35",1335,0,0
"36",1395,0,0
"37",1425,0,0
"38",1515,0,0
"39",1875,0,0
"40",1995,0,0
