"","Size","total_within_CI","P_value"
"1",315,731,0.3655
"2",345,725,0.3625
"3",375,710,0.355
"4",405,628,0.314
"5",435,243,0.1215
"6",465,688,0.344
"7",495,820,0.41
"8",525,536,0.268
"9",555,1628,0.814
"10",585,1176,0.588
"11",615,1582,0.791
"12",645,652,0.326
"13",675,710,0.355
"14",705,0,0
"15",735,0,0
"16",765,0,0
"17",795,0,0
"18",825,0,0
"19",855,0,0
"20",885,0,0
"21",915,0,0
"22",945,0,0
"23",975,0,0
"24",1005,0,0
"25",1035,0,0
"26",1065,0,0
"27",1095,0,0
"28",1125,0,0
"29",1155,0,0
"30",1185,0,0
"31",1215,0,0
"32",1245,0,0
"33",1275,0,0
"34",1305,0,0
"35",1335,0,0
"36",1395,0,0
"37",1425,0,0
"38",1995,0,0
"39",2955,0,0
